va_11.6096	va_11.4186	name	module	confidence	candidates	alt_names
0x00405CC4	0x004059D1	GodotFailGetClipboardData	_runtime/msvcrt/failure.obj	verified	1	
0x00405CED	0x004059FA	GodotFailIsClipboardFormatAvailable	_runtime/msvcrt/failure.obj	verified	1	
0x00405D81				unmapped	0	
0x00405DE0	0x00405AE0	CreateAndRunDebugWorkerThread	CORE/debug_common/Debug.obj	exact	1	
0x00405E60	0x00405B60	Turbine::Debug::SetDebugFlags	CORE/debug_common/Debug.obj	verified	1	
0x00405E80	0x00405B80	Turbine::Debug::GetDebugFlags	CORE/debug_common/Debug.obj	predicted	1	
0x00405E90	0x00405B90	Turbine::Debug::IsDebugFlagSet	CORE/debug_common/Debug.obj	verified	1	
0x00405EB0	0x00405BB0	Turbine::Debug::Abort	CORE/debug_common/Debug.obj	verified	1	
0x00405ED0	0x00405BD0	Turbine::Debug::ReportException	CORE/debug_common/Debug.obj	exact	1	
0x00405F30	0x00405C30	Turbine::Debug::Debug	CORE/debug_common/Debug.obj	verified	1	
0x00405F70	0x00405C70	ReferenceCountTemplate<1048576,0>::Release	CORE/debug_common/Debug.obj	verified	1	
0x00405FA0	0x00405CA0	Turbine::Debug::SetFloatingPointException	CORE/debug_common/Debug.obj	exact	1	
0x00405FF0	0x00405CF0	ProtectedDebug::ExceptionFilterThread	CORE/debug_common/Debug.obj	exact	1	
0x00406020	0x00405D20	RunInBackupStack	CORE/debug_common/Debug.obj	exact	1	
0x004060A0	0x00405DA0	Turbine::Debug::TurbineExceptionFilter	CORE/debug_common/Debug.obj	exact	1	
0x00406220	0x00405F20	Turbine::Debug::InitCommon	CORE/debug_common/Debug.obj	exact	1	
0x00406280	0x00405F80	Turbine::Debug::InitDebug	CORE/debug_common/Debug.obj	verified	1	
0x004062A0	0x00405FA0	Turbine::InplaceString<4096,char>::Init	CORE/debug_common/Debug.obj	exact	1	
0x00406300	0x00406000	Turbine::Debug::Init	CORE/debug_common/Debug.obj	exact	1	
0x00406390	0x00406090	_STL::__less_2<unsigned long,unsigned long>::operator()	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x004063B0	0x004060B0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::scalar_deleting_destructor	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x004063F0	0x004060F0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::begin	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406440	0x00406140	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::find_internal	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x004064A0	0x004061A0	_STL::__lower_bound<unsigned long const *,unsigned long,_STL::__less_2<unsigned long,unsigned long>,int>	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x004064E0	0x004061E0	PStringBase<char>::append_string	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x00406500	0x00406200	PStringBase<char>::sprintf_append	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406570	0x00406270	InterfaceSystem::GetClass	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x004065D0	0x004062D0	InterfaceSystem::GetClass	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406650	0x00406350	InterfaceSystem::CreateInstance	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x004066E0	0x004063E0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x00406780	0x00406480	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::grow	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x004067E0	0x004064E0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::resize_internal	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x004068D0	0x004065D0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::add	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406940	0x00406640	HashTable<Turbine_GUID,Interface *,1>::set	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x004069D0	0x004066D0	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::remove	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406A10	0x00406710	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::delete_contents	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406A90	0x00406790	InterfaceSystem::RegisterClassA	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406B30	0x00406830	IntrusiveHashTable<Turbine_GUID,HashTableData<Turbine_GUID,Interface *> *,1>::remove	CORE/tcom_interface/InterfaceSystem.obj	verified	1	
0x00406B90				unmapped	0	
0x00406BF0	0x00406890	InterfaceSystem::~InterfaceSystem	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406C90	0x00406930	InterfaceSystem::UnregisterClassA	CORE/tcom_interface/InterfaceSystem.obj	exact	1	
0x00406D10	0x00406A10	InterfaceSystem::GetInstance	CORE/tcom_interface/InterfaceSystem.obj	exact	2	HashTable<Turbine_GUID,Interface *,1>::scalar_deleting_destructor
0x00406D60	0x00406A60	SmartBuffer::SmartBuffer	CORE/serialize/SmartBuffer.obj	verified	1	
0x00406D70	0x00406A70	SmartBuffer::CanGrow	CORE/serialize/SmartBuffer.obj	verified	1	
0x00406D80	0x00406A80	SmartBuffer::GetBuffer	CORE/serialize/SmartBuffer.obj	verified	1	
0x00406D90	0x00406A90	SmartBuffer::Orphan	CORE/serialize/SmartBuffer.obj	verified	1	
0x00406DB0	0x00406AB0	SmartBuffer::GetSize	CORE/serialize/SmartBuffer.obj	predicted	1	
0x00406DC0	0x00406AC0	SmartBuffer::GetShareCount	CORE/serialize/SmartBuffer.obj	verified	1	
0x00406DD0	0x00406AD0	CSpinLock<1048576,0>::Enter	CORE/serialize/SmartBuffer.obj	exact	1	
0x00406E20	0x00406B20	GrowBuffer::GetGoodSize	CORE/serialize/SmartBuffer.obj	exact	1	
0x00406E80	0x00406B80	GrowBuffer::FreeBuffer	CORE/serialize/SmartBuffer.obj	exact	1	
0x00406F60	0x00406C60	SmartBuffer::SmartBuffer	CORE/serialize/SmartBuffer.obj	exact	1	
0x00406F90	0x00406C90	SmartBuffer::ReleaseMasterBuffer	CORE/serialize/SmartBuffer.obj	exact	1	
0x00406FD0	0x00406CD0	GrowBuffer::scalar_deleting_destructor	CORE/serialize/SmartBuffer.obj	verified	1	
0x00407060	0x00406D60	SmartBuffer::SmartBuffer	CORE/serialize/SmartBuffer.obj	exact	1	
0x004070D0	0x00406DD0	SmartBuffer::operator=	CORE/serialize/SmartBuffer.obj	exact	1	
0x00407140	0x00406E40	SmartBuffer::MakeWindow	CORE/serialize/SmartBuffer.obj	exact	1	
0x004071E0	0x00406EE0	SmartBuffer::CreateNewMasterBuffer	CORE/serialize/SmartBuffer.obj	exact	1	
0x00407250	0x00406F50	GrowBuffer::GrowExact	CORE/serialize/SmartBuffer.obj	exact	1	
0x00407390	0x00407090	SmartBuffer::MakeWindow	CORE/serialize/SmartBuffer.obj	verified	1	
0x004073B0	0x004070B0	SmartBuffer::Borrow	CORE/serialize/SmartBuffer.obj	exact	1	
0x004073F0	0x004070F0	SmartBuffer::Clone	CORE/serialize/SmartBuffer.obj	exact	1	
0x004074B0	0x004071B0	SmartBuffer::ReconfigureAllocation	CORE/serialize/SmartBuffer.obj	exact	1	
0x00407550	0x00407250	ArgumentParser::AppendOutputText	CORE/core_utils/ArgParser.obj	exact	1	
0x004075C0				unmapped	0	
0x004075E0	0x00407330	SortCommandLineArgs	CORE/core_utils/ArgParser.obj	exact	1	
0x00407600	0x00407350	ArgumentParser::ParseArgs	CORE/core_utils/ArgParser.obj	exact	1	
0x00407640	0x00407390	ArgumentParser::ParseArgs	CORE/core_utils/ArgParser.obj	exact	1	
0x00407680	0x004073D0	CaseInsensitiveStringBase<PStringBase<unsigned short> >::case_insensitive_hash	CORE/core_utils/ArgParser.obj	exact	1	
0x004076D0	0x00407420	IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>::scalar_deleting_destructor	CORE/core_utils/ArgParser.obj	verified	1	
0x00407710	0x00407460	IntrusiveHashTable<unsigned short,HashTableData<unsigned short,long> *,1>::scalar_deleting_destructor	CORE/core_utils/ArgParser.obj	verified	1	
0x00407750	0x004074A0	CommandLineArg::operator=	CORE/core_utils/ArgParser.obj	exact	1	
0x004077F0	0x004075F0	SmartArray<PFileNode *,1>::get_new_size	CORE/serialize/PFileNode.obj	exact	1	
0x00407850	0x00407650	SmartArray<PStringBase<unsigned short>,1>::Reset	CORE/core_utils/ArgParser.obj	verified	1	
0x00407920	0x00407540	PStringBase<unsigned short>::vector_deleting_destructor	CORE/core_utils/ArgParser.obj	exact	1	
0x004079D0	0x00407720	SmartArray<PFileNode *,1>::Reset	CORE/serialize/PFileNode.obj	exact	1	
0x00407A40	0x00407790	SmartArray<PStringBase<char>,1>::Reset	CORE/core_utils/ArgParser.obj	verified	1	
0x00407B50	0x004078A0	ArgumentParser::AppendArgumentText	CORE/core_utils/ArgParser.obj	exact	1	
0x00407D30	0x00407A80	ArgumentParser::SetErrorText	CORE/core_utils/ArgParser.obj	exact	1	
0x00407D80	0x00407AD0	CommandLineArg::vector_deleting_destructor	CORE/core_utils/ArgParser.obj	exact	1	
0x00407E40	0x00407B90	PStringBase<unsigned short>::set	CORE/core_utils/ArgParser.obj	exact	1	
0x00407F10				unmapped	0	
0x00407FE0				unmapped	0	
0x004080C0	0x00407EB0	PStringBase<char>::break_reference	CORE/core_utils/ArgParser.obj	exact	1	
0x00408120	0x00407F10	SmartArray<CommandLineArg,1>::Reset	CORE/core_utils/ArgParser.obj	exact	1	
0x00408220	0x00407C60	SmartArray<PFileNode *,1>::grow	CORE/serialize/PFileNode.obj	exact	2	SmartArray<PStringBase<char>,1>::grow
0x004082C0	0x00407D00	SmartArray<PStringBase<unsigned short>,1>::grow	CORE/core_utils/ArgParser.obj	verified	1	
0x00408390	0x004080E0	PStringBase<unsigned short>::break_reference	CORE/core_utils/ArgParser.obj	exact	2	SmartArray<PStringBase<unsigned short>,1>::SetNElements
0x004083F0	0x00408140	ArgumentParser::EvaluateCommandLineArg	CORE/core_utils/ArgParser.obj	exact	1	
0x00408610	0x00408360	IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>::find_internal	CORE/core_utils/ArgParser.obj	verified	1	
0x00408670	0x004083C0	PStringBase<char>::PStringBase<char>	CORE/core_utils/ArgParser.obj	exact	1	
0x004086C0	0x00408410	PStringBase<unsigned short>::operator+	CORE/core_utils/ArgParser.obj	exact	1	
0x00408770	0x004084C0	PStringBase<char>::SetAtIndex	CORE/core_utils/ArgParser.obj	exact	1	
0x004087D0	0x00408520	PStringBase<char>::operator+=	CORE/core_utils/ArgParser.obj	verified	1	
0x00408800	0x00408550	PStringBase<unsigned short>::operator+=	CORE/core_utils/ArgParser.obj	verified	1	
0x00408830	0x00408580	SmartArray<CommandLineArg,1>::grow	CORE/core_utils/ArgParser.obj	exact	1	
0x00408910	0x00408660	SmartArray<PStringBase<char>,1>::SetNElements	CORE/core_utils/ArgParser.obj	verified	1	
0x004089F0	0x00408740	PStringBase<unsigned short>::SetAtIndex	CORE/core_utils/ArgParser.obj	exact	1	
0x00408A60	0x004087B0	ArgumentParser::AppendAndWordWrap	CORE/core_utils/ArgParser.obj	exact	1	
0x00408CB0	0x00408A00	ArgumentParser::IsCommandLineArgument	CORE/core_utils/ArgParser.obj	exact	1	
0x00408D90	0x00408AE0	PStringBase<char>::allocate	CORE/core_utils/ArgParser.obj	exact	1	
0x00408E40	0x00408B90	SmartArray<PStringBase<unsigned short>,1>::AddToEnd	CORE/core_utils/ArgParser.obj	verified	1	
0x00408EC0	0x00408C10	PStringBase<unsigned short>::allocate	CORE/core_utils/ArgParser.obj	exact	1	
0x00408F80	0x00408CD0	ArgumentParser::CommandLineArgList::FindByShortCmd	CORE/core_utils/ArgParser.obj	exact	1	
0x00408FD0	0x00408D20	PStringBase<unsigned short>::to_spstring	CORE/core_utils/ArgParser.obj	exact	1	
0x00409270	0x00408FC0	SmartArray<CommandLineArg,1>::AddToEnd	CORE/core_utils/ArgParser.obj	exact	1	
0x004092C0	0x00409010	ArgumentParser::CommandLineArgList::FindByLongCmd	CORE/core_utils/ArgParser.obj	exact	1	
0x00409330	0x00409080	ArgumentParser::DisplayUsage	CORE/core_utils/ArgParser.obj	exact	1	
0x004094B0	0x00409200	IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>::IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>	CORE/core_utils/ArgParser.obj	verified	1	
0x00409550	0x004092A0	IntrusiveHashTable<unsigned short,HashTableData<unsigned short,long> *,1>::IntrusiveHashTable<unsigned short,HashTableData<unsigned short,long> *,1>	CORE/core_utils/ArgParser.obj	verified	1	
0x004095F0	0x00409340	IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>::grow	CORE/core_utils/ArgParser.obj	verified	1	
0x00409650	0x004093A0	IntrusiveHashTable<unsigned short,HashTableData<unsigned short,long> *,1>::grow	CORE/core_utils/ArgParser.obj	verified	1	
0x004096B0	0x00409400	ConvertCommandLineToArgListTemplate<char>	CORE/core_utils/ArgParser.obj	exact	1	
0x00409780	0x004094D0	ConvertCommandLineToArgListTemplate<unsigned short>	CORE/core_utils/ArgParser.obj	exact	1	
0x00409860	0x004095B0	ArgumentParser::EvaluateCommandLineArg	CORE/core_utils/ArgParser.obj	exact	1	
0x00409900	0x00409650	ArgumentParser::ParseCommandLine	CORE/core_utils/ArgParser.obj	exact	1	
0x00409A00	0x00409750	ArgumentParser::ParseCommandLine	CORE/core_utils/ArgParser.obj	exact	1	
0x00409B00	0x00409850	ArgumentParser::ParseArgs	CORE/core_utils/ArgParser.obj	exact	1	
0x00409BC0	0x00409910	IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>::add_internal	CORE/core_utils/ArgParser.obj	exact	1	
0x00409C10	0x00409960	IntrusiveHashTable<CaseInsensitiveStringBase<PStringBase<unsigned short> >,HashTableData<CaseInsensitiveStringBase<PStringBase<unsigned short> >,long> *,1>::resize_internal	CORE/core_utils/ArgParser.obj	exact	1	
0x00409D20	0x00409A70	IntrusiveHashTable<unsigned short,HashTableData<unsigned short,long> *,1>::resize_internal	CORE/core_utils/ArgParser.obj	exact	1	
