opcode_hex	opcode_dec	enum	name	handler_va	handler_fn
0x2D1	721	S2CMessage	Qualities_PrivateUpdateBool	0x0055C46D	CM_Qualities::DispatchUI_PrivateUpdateBool
0x2D2	722	S2CMessage	Qualities_UpdateBool	0x0055C4DD	CM_Qualities::DispatchUI_UpdateBool
0x2D3	723	S2CMessage	Qualities_PrivateUpdateFloat	0x0055C531	CM_Qualities::DispatchUI_PrivateUpdateFloat
0x2D4	724	S2CMessage	Qualities_UpdateFloat	0x0055C758	CM_Qualities::DispatchUI_UpdateFloat
0x2D5	725	S2CMessage	Qualities_PrivateUpdateString	0x0055C838	UIQueueManager::HandleStringUpdateEvents
0x2D6	726	S2CMessage	Qualities_UpdateString	0x0055C838	UIQueueManager::HandleStringUpdateEvents
0x2D7	727	S2CMessage	Qualities_PrivateUpdateDataId	0x0055C624	CM_Qualities::DispatchUI_PrivateUpdateDataID
0x2D8	728	S2CMessage	Qualities_UpdateDataId	0x0055C73C	CM_Qualities::DispatchUI_UpdateDataID
0x2D9	729	S2CMessage	Qualities_PrivateUpdateInstanceId	0x0055C640	CM_Qualities::DispatchUI_PrivateUpdateInstanceID
0x2DA	730	S2CMessage	Qualities_UpdateInstanceId	0x0055C774	CM_Qualities::DispatchUI_UpdateInstanceID
0x2DB	731	S2CMessage	Qualities_PrivateUpdatePosition	0x0055C65C	CM_Qualities::DispatchUI_PrivateUpdatePosition
0x2DC	732	S2CMessage	Qualities_UpdatePosition	0x0055C790	CM_Qualities::DispatchUI_UpdatePosition
0x2DD	733	S2CMessage	Qualities_PrivateUpdateSkill	0x0055C678	CM_Qualities::DispatchUI_PrivateUpdateSkill
0x2DE	734	S2CMessage	Qualities_UpdateSkill	0x0055C7AC	CM_Qualities::DispatchUI_UpdateSkill
0x2DF	735	S2CMessage	Qualities_PrivateUpdateSkillLevel	0x0055C6B0	CM_Qualities::DispatchUI_PrivateUpdateSkillLevel
0x2E0	736	S2CMessage	Qualities_UpdateSkillLevel	0x0055C7E4	CM_Qualities::DispatchUI_UpdateSkillLevel
0x2E1	737	S2CMessage	Qualities_PrivateUpdateSkillAC	0x0055C694	CM_Qualities::DispatchUI_PrivateUpdateSkillAC
0x2E2	738	S2CMessage	Qualities_UpdateSkillAC	0x0055C7C8	CM_Qualities::DispatchUI_UpdateSkillAC
0x2E3	739	S2CMessage	Qualities_PrivateUpdateAttribute	0x0055C5B4	CM_Qualities::DispatchUI_PrivateUpdateAttribute
0x2E4	740	S2CMessage	Qualities_UpdateAttribute	0x0055C6CC	CM_Qualities::DispatchUI_UpdateAttribute
0x2E5	741	S2CMessage	Qualities_PrivateUpdateAttributeLevel	0x0055C608	CM_Qualities::DispatchUI_PrivateUpdateAttributeLevel
0x2E6	742	S2CMessage	Qualities_UpdateAttributeLevel	0x0055C720	CM_Qualities::DispatchUI_UpdateAttributeLevel
0x2E7	743	S2CMessage	Qualities_PrivateUpdateAttribute2nd	0x0055C5D0	CM_Qualities::DispatchUI_PrivateUpdateAttribute2nd
0x2E8	744	S2CMessage	Qualities_UpdateAttribute2nd	0x0055C6E8	CM_Qualities::DispatchUI_UpdateAttribute2nd
0x2E9	745	S2CMessage	Qualities_PrivateUpdateAttribute2ndLevel	0x0055C5EC	CM_Qualities::DispatchUI_PrivateUpdateAttribute2ndLevel
0x2EA	746	S2CMessage	Qualities_UpdateAttribute2ndLevel	0x0055C704	CM_Qualities::DispatchUI_UpdateAttribute2ndLevel
0x2EB	747	GameEvent	Communication_TransientString	0x0055C57C	CM_Communication::DispatchUI_TransientString
0x312	786	GameEvent	Magic_PurgeBadEnchantments	0x0055C598	CM_Magic::DispatchUI_PurgeBadEnchantments
0x314	788	GameEvent	Social_SendClientContractTrackerTable	0x0055C81C	CM_Social::DispatchUI_SendClientContractTrackerTable
0x315	789	GameEvent	Social_SendClientContractTracker	0x0055C800	CM_Social::DispatchUI_SendClientContractTracker
0xEA60	60000	S2CMessage	Admin_Environs	0x0055C853	CM_Admin::DispatchUI_Environs
0xF630	63024	S2CMessage	Character_SetPlayerVisualDesc	0x0055C89E	AC1Legacy::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >::CaseInsensitiveStringBase<AC1Legacy::PStringBase<char> >
0xF643	63043	S2CMessage	Character_CharGenVerificationResponse	0x0055C90C	CPlayerSystem::Handle_CharGenVerificationResponse
0xF651	63057	S2CMessage	Login_AwaitingSubscriptionExpiration	0x0055C8E8	CPlayerSystem::Handle_AwaitingSubscriptionExpiration
0xF653	63059	S2CMessage	Login_LogOffCharacter	0x0055C960	CPlayerSystem::ExecuteLogOff
0xF655	63061	S2CMessage	Character_CharacterDelete	0x0055C949	CPlayerSystem::Handle_CharacterDelete
0xF658	63064	S2CMessage	Login_LoginCharacterSet	0x0055C977	CPlayerSystem::Handle_Login__CharacterSet
0xF659	63065	S2CMessage	Character_CharacterError	0x0055C925	CPlayerSystem::Handle_CharacterError
0xF7C1	63425	S2CMessage	Login_AccountBanned	0x0055C990	CPlayerSystem::Handle_AccountBanned
0xF7CA	63434	S2CMessage	Admin_ReceiveAccountData	0x0055C9C6	CM_Admin::DispatchUI_ReceiveAccountData
0xF7CB	63435	S2CMessage	Admin_ReceivePlayerData	0x0055C9E2	CM_Admin::DispatchUI_ReceivePlayerData
0xF7DC	63452	S2CMessage	Login_AccountBooted	0x0055CA52	CPlayerSystem::Handle_AccountBooted
0xF7DF	63455	S2CMessage	Login_EnterGame_ServerReady	0x0055C9FE	CM_Character::DispatchUI_EnterGame_ServerReady
0xF7E0	63456	S2CMessage	Communication_TextboxString	0x0055CA1A	CM_Communication::DispatchUI_TextboxString
0xF7E1	63457	S2CMessage	Login_WorldInfo	0x0055CA36	CM_Login::DispatchUI_WorldInfo
