5	MissingIteration	291561-648121
5	MMapUtil	723933-724000
5	MD_Data_Fade	694286-694363
5	LookFile	206079-648328
5	LinkStatusHolder	77339-78604
5	LinebreakUtils	175001-175041
5	InstanceIDPropertyValue	96106-99640
5	HouseSystem	486143-486209
5	GeneratorQueueNode	481093-508825
5	GeneratorProfile	507877-508619
5	FileNodeName_Int64	624021-624927
5	FileNodeName_Int32	97773-624881
5	FileNodeName_Guid	624123-624767
5	FileNodeName_CellID	624068-624996
5	FileNodeName_Bool	95550-624712
5	EffectInfoRegion	285884-286377
5	DiskDev	653388-653462
5	DayGroup	301424-302642
5	DataSource	646547-646580
5	CreationProfile	503969-504048
5	CreateParticleHook	342513-343285
5	ContentProfile	465993-713289
5	ConstantSound	383835-384295
5	CloSubpalEffect	465721-466352
5	ChatEmoteData	296947-297575
5	CShadowPart	718928-719001
5	CSceneType	304404-304485
5	CSWVertex	364760-364861
5	COLLISIONINFO	311567-718729
5	CMostlyConsecutiveIntSet	291453-646897
5	CM_Vendor	707061-707258
5	CM_Train	704751-705067
5	CLanguageInfo	93627-94059
5	CHILDLIST	328820-329036
5	CContractTracker	451343-451415
5	CAsyncGetRequest	84264-85049
5	CAllIterationList	291818-654732
5	BlobFrag	376968-377048
5	BadData	290314-298061
5	AttributeInfoRegion	285162-285975
5	AttackHook	342003-343151
5	ArchiveVersionRow	75961-76214
5	AnimFrame	333649-333944
5	AC1ClientChatManager	389886-390001
4	gmGameplayOptionsUI	215246-215315
4	gmCLCache	435219-435258
4	gmCGTownPage	185129-185210
4	gm3DItemsUI	222744-222813
4	cWObjHierNode	296338-296615
4	WeaponProfile	477882-481038
4	ULInt_StringInfoData	107847-108692
4	TransientArchive	61166-290181
4	TextTag_IID	182118-182178
4	TextTag_DID	181728-182151
4	StringTableString	108852-109419
4	StringInfoData	107959-108368
4	String	290482-472464
4	SoundHook	342178-343068
4	SkillFormula	188488-502054
4	ShaderResourceType	134981-135128
4	SetOmegaHook	339652-343255
4	SerializeUsingPackDBObj	290680-291160
4	RenderMeshBatch	140524-140637
4	ProjectileEnchantmentSpell	451101-451166
4	PortalEvent	627484-627510
4	PlatformString	121565-121801
4	PhysicsScriptTableData	336552-336884
4	PageInfo	207386-207672
4	PFileNodeIter	625339-625912
4	NameFilterTable	290392-662715
4	MoveToStatePack	323787-324275
4	MD_Data_State	693909-693967
4	MD_Data_Message	694094-694152
4	MD_Data_Jump	694467-694525
4	MD_Data_Alpha	694900-694960
4	LM_UVTransform	141971-142613
4	LInt_StringInfoData	107828-108685
4	LIGHTINFO	143742-454319
4	JumpPack	324037-324310
4	InputStream	722688-722874
4	IconData	437741-438383
4	GrowBuffer	66017-66327
4	GlobalEventHandler	121046-121076
4	GeneratorRegistryNode	508676-508743
4	FileNodeName_UInt64	623898-624904
4	FileNodeName_UInt32	95571-624858
4	FileNodeName_Float	97616-624973
4	FileArray	654797-654855
4	EyesStrip_CG	185652-488982
4	EventFilter	715197-715286
4	ErrorStream	387926-387975
4	ECM_Item	682179-682265
4	DispelSpell	450795-450833
4	DialogBoxGateways	73817-73907
4	DialogBoxGateway	73933-73994
4	CryptoSystem	629868-630381
4	ControlSpecification	669647-674309
4	ContractInfo	209544-209766
4	CommandLineArg	61810-67096
4	ClientCharGenState	400912-400994
4	ChannelSystem	507159-507819
4	CUnknown	729213-729266
4	CQuestDefDB	435179-451899
4	CNetLayerPacket	370421-467981
4	CCellPortal	362330-362379
4	CAnimHook	342125-342737
4	BodyPartSelectionData	509092-509518
4	BitUtils	60867-675345
4	AvailablePropertySet	104687-104935
4	Attribute	391003-502297
4	AttackManager	327861-327965
4	ArrivedEphInfo	378546-378580
4	AnimData	341040-341942
4	AllegianceNode	483736-483759
4	AdminPlayerData	710839-713920
4	AdminAccountData	710820-713951
4	ActionState	110048-653357
4	ANSIColorStatus	75605-75661
4	AFrame	333665-467619
3	gmAdminQualitiesUI	254088-254149
3	_com_error	521276-521309
3	UIPreferenceItem	520013-520964
3	UIPersistantData	182775-182866
3	UIGlobals	282906-282952
3	TimeStampUtils	370246-371238
3	TimeSource_QueryPerformanceCounter	77050-77101
3	TextureVelocityPartHook	342084-342560
3	TextureVelocityHook	342102-342584
3	TextureMapChange	471630-471676
3	TerrainTex	304632-305054
3	TCoord	223307-223553
3	SurfaceUsageSummary	150086-150299
3	SoundTableHook	342219-342238
3	SkyTimeOfDay	301977-302257
3	SkyObject	301402-301789
3	SetPositionStruct	329726-329760
3	RegEdit	73535-73606
3	RGBColor	142984-467661
3	PixelFormatDesc	121847-122248
3	PhysicsTimestampPack	324197-324223
3	PalShiftTex	300589-300987
3	PackObjPropertyCollection	513579-513591
3	NetError	77385-78429
3	MovementSystem	713790-713830
3	MD_Data_Sound	694649-694681
3	MD_Data_Cursor	693835-693870
3	LogTextTypeEnumMapper	713311-713631
3	InventoryPlacement	219649-502277
3	Interface	61413-61428
3	InteractiveOutputHandler	79183-79342
3	InstanceDiviner	74278-74422
3	IInputActionCallback	77183-717711
3	IError	79283-623864
3	HairStyle_CG	269120-488936
3	GlobalRegistryCommands	112077-114137
3	GeneratorRegistry	508262-509046
3	GeneratorQueue	508308-508472
3	GamePlayUI	697446-697470
3	GameMoveData	721053-721135
3	GRStrings	115082-115122
3	GRPShadowVariableObject	114457-114505
3	Formatted_ULInt_StringInfoData	107948-108713
3	FontMapper	136206-136237
3	FileNodeName_InstanceID	623930-625019
3	FallocPool	630506-630561
3	EncumbranceSystem	296731-296777
3	ECM_Login	682341-682393
3	DualEnumIDMap	82127-294370
3	DiskTransactInfo	652704-653281
3	DiskFileInfo_t	646914-653363
3	DatIDStamp	79356-79372
3	DDD_DataMessage	290537-291201
3	DBLevelInfo	136738-136797
3	DBFile2IDTable	290364-658197
3	DBCachePrefetchCallback	80972-81033
3	CrashCleaner	73719-73808
3	CombatManeuver	501758-501988
3	CloTextureEffect	465605-466009
3	ClientSystem	195810-401102
3	ClientAdminSystem	719759-719792
3	ClassFactoryForceClient_ClassType	61983-183993
3	CharExamineUI	226673-233437
3	CallPESHook	342468-343177
3	CTimeSyncHeader	374577-468287
3	CShadowObj	317241-329719
3	CPluginManager	73636-73782
3	CObjectInventory	718595-718642
3	CMediaPosition	729816-729857
3	CM_Examine	712727-712779
3	CInvSlotModule	395928-396662
3	CEmoteTable	446384-446869
3	CEchoResponseHeader	369836-468365
3	CEchoRequestHeader	374583-468334
3	CELLARRAY	312114-718896
3	CDirSound	387098-387172
3	CContractTrackerTable	397561-451449
3	CCliDatEvent	389610-464263
3	BoostSpell	450850-451270
3	Body	440232-502696
3	AutonomousPositionPack	323904-323981
3	AttackCone	341993-342622
3	ACCFactory	390651-390841
2	gmGlobalEventHandler	183629-183640
2	WeenieDesc	471778-471785
2	WOrderHdr	713848-713868
2	VendorSubUI	242495-242662
2	Vector3Math	96722-476749
2	Vec2D	467527-467543
2	UpdateObjectTransactInfo	653000-653255
2	UIViewportObject	684768-684818
2	UIRectangleObject	684698-684756
2	UIElementMessageInfo	149813-150326
2	Turbine_GUID	75522-75569
2	TurbineChatBlob	329767-505762
2	TransparentPartHook	342389-342395
2	TransferSpell	451276-451286
2	TimestamppedTextFileOutputHandler	74394-74571
2	TargetInfo	317674-328027
2	TMTerrainDesc	305141-305755
2	TDBTypeEntry	655888-657171
2	StreamPackObj	367853-367872
2	StatMod	488293-514004
2	SplitNodeTransactInfo	652727-653029
2	SpellBookPage	503926-503937
2	SkyObjectReplace	301869-301923
2	Skill_CG	488522-488887
2	ShortCutData	513984-513994
2	ShopSystem	719870-719893
2	ShadePackage	465511-465518
2	ScaleHook	342474-342500
2	SalvageResult	500649-500669
2	SB_As32Bit_Compressed	489676-624774
2	RpcServer	721770-721796
2	RotateEntryTransactInfo	653087-653102
2	RenderMeshVerticesArray	129240-129584
2	RenderMeshMaterialArray	129201-129572
2	RenderMeshIndicesArray	129293-129596
2	RenderLight	380215-382469
2	RegionMisc	299045-299098
2	RadarInfo	262611-262619
2	ProjectileLifeSpell	451088-451155
2	ProfilerDBObjStat	517035-517088
2	PreciseTimerInstance	75441-75454
2	PerlinNoise	477245-477268
2	Particle	330313-330649
2	OrderHdr	716785-716801
2	NoDrawHook	342288-342318
2	NetUtils	467881-467915
2	MergeNodesTransactInfo	652713-652932
2	MathLib	143576-185633
2	MagicSystem	488433-488477
2	MD_Data_Image	693114-693133
2	LuminousHook	342372-342422
2	LRUDeleteTransactInfo	652740-653186
2	LIGHTLIST	325029-325924
2	InterfaceEnumerator	469153-469194
2	InputEvent	110003-110090
2	IQueuedUIEventDeliverer	296246-296259
2	IFileNodeName	623870-624402
2	GlyphLine	175068-175440
2	GeneratorTable	508060-508072
2	GRPWithArgsCommand	114346-114432
2	GRPNoArgsCommand	114411-114620
2	FriendDataList	200351-201704
2	FontLocal	136131-290802
